Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, axi4_interconnect_ipgen_ext_slv_port_Z61_layer0,0h:00m:06s,0h:00m:04s,0h:00m:00s,0h:00m:01s,   262 MB,    12 MB,     3 MB,     2 MB,     7 MB
work, axi4_interconnect_ipgen_ext_mas_port_Z59_layer0,0h:00m:06s,0h:00m:05s,0h:00m:00s,0h:00m:00s,   287 MB,    11 MB,     2 MB,     1 MB,     8 MB
work, axi4_interconnect_ipgen_lscc_sync_axi_interconnect_Z58_layer0,0h:00m:11s,0h:00m:11s,-,0h:00m:00s,   287 MB,     8 MB,     8 MB,     0 MB,     0 MB
work, axi4_interconnect_ipgen_axi_cross_bar_Z57_layer0,0h:00m:07s,0h:00m:07s,-,0h:00m:00s,   287 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_smem_lram_Z52_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   287 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_mem_Z51_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   287 MB,     5 MB,     5 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_sys_mem_Z49_layer0,0h:00m:03s,0h:00m:03s,-,0h:00m:00s,   287 MB,     7 MB,     7 MB,     0 MB,     0 MB
work, gpio0_ipgen_lscc_gpio_Z24_layer0,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   287 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, cpu0_ipgen_Riscv_Dbg_IMC,0h:00m:09s,0h:00m:00s,0h:00m:00s,0h:00m:08s,   391 MB,    74 MB,     4 MB,    16 MB,    54 MB
work, cpu0_ipgen_riscvsmall_Z21_layer0,0h:00m:07s,0h:00m:07s,0h:00m:00s,0h:00m:00s,   391 MB,    22 MB,    22 MB,     0 MB,     0 MB
work, apb0_ipgen_lscc_apb_decoder_Z18_layer0,0h:00m:03s,0h:00m:03s,0h:00m:00s,0h:00m:00s,   391 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, apb0_ipgen_lscc_apb_interconnect_Z17_layer0,0h:00m:04s,0h:00m:04s,-,0h:00m:00s,   391 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, ahbl0_ipgen_lscc_ahbl_decoder_Z6_layer0,0h:00m:02s,0h:00m:02s,0h:00m:00s,0h:00m:00s,   391 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, ahbl0_ipgen_lscc_ahbl_crossbar_Z5_layer0,0h:00m:06s,0h:00m:06s,0h:00m:00s,0h:00m:00s,   391 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, ahbl0_ipgen_lscc_ahbl_interconnect_Z4_layer0,0h:00m:07s,0h:00m:07s,-,0h:00m:00s,   391 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, HW_ver_gpio_ipgen_lscc_gpio_Z2_layer0,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   391 MB,     4 MB,     4 MB,     0 MB,     0 MB
